Student ID,Name,Batch/Class,Department/Major,Date of Admission,Date of Graduation,Semester-wise GPA,Cumulative GPA,Core Engineering Course Grades,Elective Course Grades,Project/Research Work Evaluation,Hackathon Participation,Paper Presentations,Research Publications,Leadership Roles,Volunteer Work,Certifications,Workshops Attended,Internships,Skills Demonstrated,Attendance Record,Disciplinary Actions,Special Needs/Disabilities,Scholarships/Awards,Year,Gender
72938632,Deborah Cortez,Batch 4,Civil Engineering,2021-01-13,2027-06-19,"[9.583066682106294, 10.173922331862393, 9.987728361009417, 10.088234778248724]",9.96,"['F', 'B', 'A', 'A', 'A']","['C', 'F', 'A']",9.19,International,3,0,None,True,0,5,0,High,90,Warning,,5,4,Male
51712539,Robert Smith,Batch 3,Electronics Communication Engineering,2021-10-25,2025-09-01,"[11.166494227989727, 9.638309779012982, 9.37130065482287]",10.06,"['D', 'D', 'C', 'C', 'B']","['D', 'A', 'D']",8.74,International,4,0,None,False,0,3,2,Medium,96,Probation,,5,3,Male
52421946,Jeff Reed,Batch 1,Computer Science Engineering,2021-02-27,2025-10-29,[10.244342729499293],10.24,"['B', 'C', 'A', 'D', 'D']","['F', 'A', 'D']",9.34,National,4,3,Vice President,False,4,2,1,High,80,,,1,1,Male
56818564,Laura Wilson,Batch 3,Electronics Communication Engineering,2022-06-25,2027-07-26,"[9.904453052383474, 10.648847892033057, 9.52556198591366]",10.03,"['C', 'D', 'D', 'D', 'C']","['A', 'A', 'D']",9.4,International,5,1,President,True,8,4,1,Low,92,Warning,Yes,5,3,Female
72030944,Danny West,Batch 3,Mechanical Engineering,2020-03-14,2027-07-10,"[9.923396823486252, 10.139263569871959, 10.478140264316892]",10.18,"['D', 'F', 'D', 'B', 'C']","['A', 'F', 'F']",8.3,National,4,2,Treasurer,True,6,0,2,High,98,Warning,Yes,1,3,Female
68720115,Carrie Stanley,Batch 1,Civil Engineering,2024-04-19,2026-04-17,[9.57984421165988],9.58,"['F', 'A', 'F', 'F', 'D']","['D', 'A', 'C']",8.22,National,5,3,None,True,5,7,1,High,93,Probation,Yes,1,1,Male
12990594,Sara Reed,Batch 1,Mechanical Engineering,2023-01-27,2027-06-08,[10.177781874537562],10.18,"['B', 'B', 'B', 'F', 'D']","['D', 'F', 'C']",8.26,Local,3,0,Vice President,False,9,6,1,Low,79,,,2,1,Female
50513418,Amy Stevenson,Batch 1,Mechanical Engineering,2021-03-30,2028-05-28,[9.892900761801164],9.89,"['F', 'D', 'B', 'C', 'B']","['A', 'D', 'D']",7.53,National,3,3,Treasurer,False,7,6,0,Medium,87,Probation,,3,1,Male
59248379,Jennifer Henry,Batch 4,Electrical Engineering,2023-09-05,2026-07-02,"[10.386858836100682, 11.139657974250401, 10.179701430786121, 10.44187939419011]",10.54,"['A', 'C', 'F', 'A', 'A']","['F', 'F', 'D']",9.87,International,1,1,President,True,9,1,0,High,78,Warning,,3,4,Male
28931866,Mr. Paul Taylor,Batch 2,Electrical Engineering,2023-11-18,2026-12-04,"[10.08006216037053, 9.737837249495588]",9.91,"['A', 'D', 'C', 'C', 'C']","['A', 'A', 'B']",8.96,None,1,3,Treasurer,True,8,10,2,Medium,88,,,0,2,Male
54502379,Jeremy Gross,Batch 2,Mechanical Engineering,2024-01-31,2027-09-17,"[10.241798537328998, 9.428465834534547]",9.84,"['A', 'F', 'C', 'B', 'A']","['D', 'C', 'B']",9.95,National,5,2,Treasurer,False,7,3,3,Medium,80,Probation,Yes,0,2,Male
70625626,Katherine Martin,Batch 4,Computer Science Engineering,2021-01-12,2027-07-31,"[10.141987688942482, 9.486565106231685, 10.470256102887168, 10.267617225340008]",10.09,"['D', 'B', 'B', 'C', 'F']","['B', 'C', 'B']",7.38,Local,1,1,Treasurer,True,9,6,0,High,82,,Yes,2,4,Male
6952614,Patrick Elliott,Batch 2,Civil Engineering,2023-10-01,2026-07-06,"[10.043115563230023, 9.865841697472499]",9.95,"['A', 'C', 'B', 'C', 'D']","['B', 'D', 'B']",7.93,None,0,1,Treasurer,True,2,3,1,Medium,77,Warning,,5,2,Male
